,1996-05-15,1996-11-13,1997-05-14,1997-11-12,1998-05-13,1998-11-11,1999-05-12,1999-11-17,2000-05-17,2000-11-15,2001-05-16,2001-11-14,2002-05-15,2002-11-13,2003-05-14,2003-11-12,2004-05-12,2004-11-17,2005-05-18,2005-11-16,2006-05-17,2006-11-15,2007-05-16,2007-11-14,2008-05-14,2008-11-12,2009-05-13,2009-11-18,2010-05-12,2010-11-17,2011-05-18,2011-11-16,2012-05-16,2012-11-14,2013-05-15,2013-11-13,2014-05-14,2014-11-12,2015-05-13,2015-11-18,2016-05-18
002416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.28097651,-0.08007687,-0.39832869,-0.35763889,0.42702703,1.17424242,-0.24796748,0.04247104,0.37777778,NaN,0.27368421,-0.05344353
600388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.31014493,0.03361345,NaN,-0.15920398,-0.17159763,0.28571429,-0.22777778,-0.35971223,0.19101124,0.10377358,0.20512821,1.12765957,-0.05333333,0.06971831,-0.35714286,0.88991295,0.5605527,-0.13003472,0.18878467,-0.13328857,0.00038737,-0.10319458,-0.05980138,1.05924225,0.42908118,-0.28214732,0.16413043,0.82539683,-0.04501279,-0.35886449,0.11695906
002598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19124088,-0.29044118,0.13644214,-0.02583587,0.13728549,0.30178326,0.26765016,-0.0407315,-0.12045061,0.28768473
002358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24678013,-0.10754473,NaN,0.1078664,-0.02800659,0.25084746,0.23712737,0.45454545,0.41942771,0.11564987,-0.05373276,-0.19045226,0.33333333
002616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.33649852,-0.06663685,0.28334132,NaN,-0.12846698,0.57523302,1.55367709,NaN,-0.29046243,0.03258656
000587,0.39919355,0.46253602,-0.32512315,0.13532847,-0.06609232,-0.22277296,0.20903454,0.45787546,0.31457286,-0.02370031,-0.36491778,0.07274969,-0.24482759,-0.2130898,-0.26305609,-0.00787402,-0.54497354,0.51744186,-0.16475096,-0.2293578,0.35119048,2.6123348,-0.22195122,-0.05564263,-0.52315353,1.35676993,1.0586324,-0.06736495,NaN,NaN,NaN,0.17283951,-0.12180451,-0.10445205,0.21892925,-0.14588235,-0.01101928,1.32497679,-0.18929712,-0.28571429,0.11310345
300185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.05558288,-0.29166667,0.02205882,-0.11510791,0.08130081,0.52631579,0.63546798,NaN,-0.2741433,NaN
600784,NaN,NaN,-0.3229572,0.2816092,0.10089686,-0.31425662,0.33412533,0.0618878,0.33542977,-0.08634223,-0.22680412,-0.10311111,-0.18136769,-0.12439467,-0.30625648,0.25560538,-0.26587302,-0.22162162,-0.20138889,0.36521739,NaN,3.47445255,-0.24306688,NaN,-0.56619256,0.87641866,0.39952957,0.08043217,0.16444444,0.72137405,-0.24390244,-0.04545455,-0.13671275,NaN,-0.03639515,NaN,0.29058116,1.11024845,-0.28918322,NaN,0.42469471
002600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.31967454,NaN,0.03492647,-0.27531083,0.30637255,NaN,0.61949686,-0.02815534,0.21788212,-0.11410057
601998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0246677,-0.35420503,-0.39372624,0.23392913,0.36289708,-0.2075331,0.00470588,-0.00234192,-0.14319249,-0.01342466,-0.12135518,0.19058154,-0.04380143,0.14408662,0.22324678,0.4598294,0.06685691,-0.31855815,0.18317757
