code,1996-01-04,1997-01-06,1998-01-05,1999-01-04,2000-01-04,2001-01-04,2002-01-04,2003-01-06,2004-01-05,2005-01-04,2006-01-04,2007-01-04,2008-01-04,2009-01-05,2010-01-04,2011-01-04,2012-01-04,2013-01-04,2014-01-06,2015-01-05
600316,NaN,NaN,NaN,NaN,NaN,-0.2227,-0.2005,-0.1629,-0.2335,1.1675,1.1279,1.2276,-0.5652,1.4148,0.2955,-0.4246,-0.1433,0.35,0.5573,-0.2562
600795,NaN,NaN,0.4086,0.43,1.4235,-0.2584,-0.1881,0.7805,-0.2438,0.0987,0.0008,1.9572,-0.3788,0.2601,-0.1495,-0.0669,-0.0135,-0.0909,1.265,-0.232
300198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0675,0.2888,0.0031,1.0508
600470,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.053,0.2112,1.9692,-0.6623,0.9711,0.0206,-0.0694,0.1817,-0.3054,0.1177,0.4743
002493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4715,-0.3312,-0.2477,0.5661,1.1608
601928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1773,0.4263,0.1911,0.2994
601288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0086,0.1685,-0.1017,0.722,-0.1501
002485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2307,-0.3916,-0.1603,0.7056,NaN
002100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0273,-0.4094,1.4356,0.1447,-0.3252,-0.0916,0.7178,0.0318,0.4884
002285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0285,-0.4872,0.1974,0.6243,0.7778,0.3607
300202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7731,1.592,0.3542,-0.0969
603899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600105,NaN,NaN,0.0523,0.2914,0.2949,-0.2752,-0.2951,-0.1973,-0.1589,-0.3668,0.3083,1.5156,-0.6639,2.0164,0.8546,-0.5853,-0.1343,0.4571,0.3669,NaN
300330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4893,0.2309,0.5458
603067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0483,-0.1466,0.195,1.017,-0.6235,0.6251,-0.158,-0.2624,-0.0415,-0.0433,0.9899,0.5389
600737,NaN,1.2388,0.3292,0.1191,1.6275,0.0736,0.3088,0.0838,-0.8803,0.5713,NaN,NaN,-0.529,0.745,-0.049,-0.6346,-0.0866,-0.0264,0.8091,0.37
002795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
002266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5303,0.4917,-0.3208,-0.2248,2.0,NaN,0.1263
300207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0255,0.888,0.0989,1.4896
600644,0.3788,0.9835,-0.1911,0.0479,1.9379,-0.1279,-0.3584,-0.0559,-0.3611,-0.1483,0.4358,NaN,-0.5129,0.4636,0.3416,-0.4223,0.1461,-0.1736,0.2886,-0.1507
